,model_size,uncertainty,deg_level,det,deg,ei
0,2,1.0,1,0.0,-100000.0,1.0
1,2,0.99,1,-0.12153852365273278,-100000.0,0.8784614763472672
2,2,0.98,1,-0.22001004684541295,-100000.0,0.7799899531545871
3,2,0.97,1,-0.31184983035268715,-100000.0,0.6881501696473129
4,2,0.95,1,-0.4868063278012853,-100000.0,0.5131936721987145
5,2,0.94,1,-0.5722756686923108,-100000.0,0.42772433130768917
6,2,0.9299999999999999,1,-0.6572715292295056,-100000.0,0.3427284707704944
7,2,0.91,1,-0.8274352110102238,-100000.0,0.17256478898977617
8,2,0.9,1,-0.9132042619548906,-100000.0,0.0867957380451094
9,2,0.87,1,-1.176049116697041,-100000.0,-0.1760491166970411
10,2,0.85,1,-1.3578633441515378,-100000.0,-0.3578633441515373
11,2,0.84,1,-1.4513051619806774,-100000.0,-0.4513051619806774
12,2,0.8200000000000001,1,-1.64420358625396,-100000.0,-0.6442035862539599
13,2,0.81,1,-1.7440592313513832,-100000.0,-0.7440592313513832
14,2,0.8,1,-1.8464701049751038,-100000.0,-0.8464701049751039
15,2,0.79,1,-1.9516674886826557,-100000.0,-0.9516674886826556
16,2,0.78,1,-2.0599009393080627,-100000.0,-1.0599009393080627
17,2,0.76,1,-2.2865876806590775,-100000.0,-1.2865876806590775
18,2,0.73,1,-2.657123402936829,-100000.0,-1.657123402936829
19,2,0.72,1,-2.790367575967658,-100000.0,-1.7903675759676578
20,2,0.6799999999999999,1,-3.3865657781063634,-100000.0,-2.3865657781063634
21,2,0.6599999999999999,1,-3.733482423198054,-100000.0,-2.7334824231980535
22,2,0.63,1,-4.341452106036329,-100000.0,-3.341452106036329
23,2,0.6,1,-5.105347548540012,-100000.0,-4.105347548540012
24,2,0.59,1,-5.4112242109135185,-100000.0,-4.4112242109135185
25,2,0.5700000000000001,1,-6.139493820474651,-100000.0,-5.139493820474651
26,2,0.54,1,-7.757404003181603,-100000.0,-6.757404003181603
27,2,0.53,1,-8.588154399570557,-100000.0,-7.588154399570558
28,2,0.99,2,-0.12153852365273278,-2.1708603680818506,0.47949687063488433
29,2,0.97,2,-0.31184983035268715,-2.4348140054159795,0.3118770780617205
30,2,0.92,2,-0.7422149776146646,-3.0215703494350317,-0.07498548567131247
31,2,0.91,2,-0.8274352110102238,-3.135878803310345,-0.15275421714921855
32,2,0.9,2,-0.9132042619548906,-3.250224625559101,-0.2313838304428276
