,model_size,uncertainty,deg_level,det,deg,ei
1147,4,0.78,14,-1.1808555511741863,-1.1187426849730477,-1.2412700241072026
1148,4,0.745,14,-1.1335851940242603,-1.086088419302313,-1.1867409478410635
1149,4,0.74,14,-1.127598627904121,-1.0820325303920122,-1.179388487945997
1150,4,0.73,14,-1.1161534342895685,-1.0743301361157365,-1.1650500052854345
1151,4,0.725,14,-1.1106866228262149,-1.0706752887729436,-1.1580706309283193
1152,4,0.665,14,-1.0570521165506108,-1.035661053220368,-1.085213086397023
1153,4,0.645,14,-1.0435831949343217,-1.0271057818261917,-1.0657310322162394
1154,4,0.635,14,-1.0375958038629625,-1.0233317787652818,-1.0569318443103006
1155,4,0.61,14,-1.0246991872949727,-1.0152605199727853,-1.0377089774607762
1156,4,0.605,14,-1.022463586240969,-1.0138690614258905,-1.0343414240679123
1157,4,0.6,14,-1.0203396005006327,-1.0125490833663204,-1.0311328676317189
1158,4,0.5800000000000001,14,-1.0129381634049852,-1.007964124738159,-1.019885542289441
1159,4,0.55,14,-1.0050209296799273,-1.0030834907742032,-1.007748345380938
1160,4,0.54,14,-1.00320855854139,-1.001969466562791,-1.0049558091824713
1161,4,0.52,14,-1.0008005337262014,-1.00049105780207,-1.001237870319137
1162,4,0.51,14,-1.000200033339468,-1.0001226832593453,-1.0003093982581606
1163,4,0.5,14,-1.0,-1.0,-1.0
1164,4,0.995,15,-1.9380224831478827,-1.8281316690513816,-1.263005831593412
1165,4,0.97,15,-1.7478824249910445,-1.6512324300188996,-1.2554979966805506
1166,4,0.96,15,-1.6908021018606125,-1.5987987554574057,-1.2508231487377615
1167,4,0.92,15,-1.5134288055928207,-1.438206787488262,-1.226203769819472
1168,4,0.87,15,-1.3590154099274405,-1.3018839427392552,-1.187431164555129
1169,4,0.865,15,-1.3463066388371032,-1.2908347739225932,-1.1832958023969662
1170,4,0.85,15,-1.3105384623930452,-1.259889831824865,-1.1707624961955396
1171,4,0.845,15,-1.2993475382425106,-1.2502551298987084,-1.1665590604123686
1172,4,0.835,15,-1.2779770461331563,-1.2319201213799655,-1.1581425528625946
1173,4,0.83,15,-1.267771921919182,-1.2231942943731957,-1.1539386752896346
1174,4,0.785,15,-1.1884391364130171,-1.1560189821456304,-1.1169864861962373
1175,4,0.745,15,-1.1335851940242603,-1.1102175140250476,-1.086886921112032
1176,4,0.72,15,-1.1053851907187477,-1.086843880857271,-1.0700052517278071
1177,4,0.6799999999999999,15,-1.0685234294812405,-1.0564188724657861,-1.0466261782259254
1178,4,0.6699999999999999,15,-1.0607418744182215,-1.0500088334916988,-1.041518632329774
1179,4,0.635,15,-1.0375958038629625,-1.0309552693195159,-1.026014589308946
1180,4,0.51,15,-1.000200033339468,-1.0001648698349972,-1.0001406382486617
1181,4,0.985,16,-1.8501462150862025,-1.850146215086202,-1.0
1182,4,0.975,16,-1.7793361253020321,-1.7793361253020317,-1.0
1183,4,0.965,16,-1.7184671498362667,-1.7184671498362667,-1.0
1184,4,0.96,16,-1.6908021018606125,-1.6908021018606132,-1.0
1185,4,0.945,16,-1.6163410493910084,-1.6163410493910089,-1.0
1186,4,0.91,16,-1.4778810774206748,-1.4778810774206748,-1.0
1187,4,0.875,16,-1.372147484206143,-1.372147484206143,-1.0
1188,4,0.855,16,-1.3220850188882796,-1.3220850188882796,-1.0
1189,4,0.8049999999999999,16,-1.2211033665319684,-1.2211033665319684,-1.0
1190,4,0.7949999999999999,16,-1.204290899340499,-1.2042908993404988,-1.0
1191,4,0.79,16,-1.1962486197169364,-1.1962486197169364,-1.0
1192,4,0.765,16,-1.1593963830897969,-1.1593963830897969,-1.0
1193,4,0.76,16,-1.1526541647734596,-1.1526541647734596,-1.0
1194,4,0.755,16,-1.1461082397135844,-1.1461082397135844,-1.0
1195,4,0.655,16,-1.0500636745871637,-1.0500636745871634,-1.0
1196,4,0.635,16,-1.0375958038629625,-1.0375958038629625,-1.0
1197,4,0.615,16,-1.0270476015602232,-1.0270476015602235,-1.0
1198,4,0.585,16,-1.0146263514864544,-1.0146263514864542,-1.0
1199,4,0.5800000000000001,16,-1.0129381634049852,-1.0129381634049852,-1.0
1200,5,0.925,1,-1.5322890328931824,-1.0,-8.447018901997762
1201,5,0.87,1,-1.3590154099274403,-1.0,-4.635770272787994
1202,5,0.81,1,-1.2298893621882103,-1.0,-2.8140397362077243
1203,5,0.765,1,-1.1593963830897969,-1.0,-2.0948826791387622
1204,5,0.755,1,-1.1461082397135844,-1.0,-1.9775531926212175
1205,5,0.74,1,-1.1275986279041212,-1.0,-1.8229413394400487
1206,5,0.6950000000000001,1,-1.0812369676064784,-1.0,-1.4777617774641827
1207,5,0.6499999999999999,1,-1.046760902594659,-1.0,-1.2567169278474284
1208,5,0.625,1,-1.032088007905954,-1.0,-1.1710721679023874
1209,5,0.5700000000000001,1,-1.009880762532894,-1.0,-1.0503898016344475
1210,5,0.54,1,-1.00320855854139,-1.0,-1.016146072032567
1211,5,0.98,2,-1.8132268848704762,-1.0059480039575663,-19.02755923587914
1212,5,0.91,2,-1.477881077420675,-1.0021772193214424,-6.973885459884238
1213,5,0.905,2,-1.461102562234533,-1.002033573364459,-6.591619763106526
1214,5,0.835,2,-1.2779770461331563,-1.0007854232088051,-3.3955522059102483
1215,5,0.815,2,-1.2389398342103888,-1.0005970027434992,-2.910416169412422
1216,5,0.8,2,-1.2125732532083184,-1.000485153222872,-2.615090244478644
1217,5,0.6950000000000001,2,-1.0812369676064784,-1.0001047650213335,-1.4769879319762764
1218,5,0.665,2,-1.0570521165506108,-1.000064346985354,-1.3192960967159162
1219,5,0.6599999999999999,2,-1.053493413977562,-1.0000590971370062,-1.2972712714084185
1220,5,0.6499999999999999,2,-1.046760902594659,-1.0000496389905615,-1.2564050634922608
1221,5,0.635,2,-1.0375958038629625,-1.0000377398495919,-1.2024280096540136
1222,5,0.565,2,-1.008509968856955,-1.0000070594008748,-1.0432434052477457
1223,5,0.5,2,-1.0,-1.0,-1.0
1224,5,0.97,3,-1.747882424991045,-1.0134930258948067,-15.256582259645239
1225,5,0.915,3,-1.4953088559388692,-1.0070469070786283,-7.217819667717506
1226,5,0.885,3,-1.3997647155437478,-1.0049921215227573,-5.241576437090503
1227,5,0.86,3,-1.334002331837473,-1.003739938336029,-4.146454644986912
