,model_size,uncertainty,deg_level,det,deg,ei
0,2,0.99,1,-0.9192068641040887,-0.0,-1.8384137282081774
1,2,0.91,1,-0.5635301829358971,-0.0,-1.1270603658717941
2,2,0.87,1,-0.44256181497201086,-0.0,-0.8851236299440217
3,2,0.85,1,-0.39015969528359945,-0.0,-0.7803193905671991
4,2,0.8200000000000001,1,-0.3199229542717203,-0.0,-0.6398459085434406
5,2,0.8,1,-0.27807190511263785,-0.0,-0.5561438102252757
6,2,0.79,1,-0.2585172600687264,-0.0,-0.5170345201374528
7,2,0.76,1,-0.20495972061547776,-0.0,-0.40991944123095553
8,2,0.69,1,-0.10682654162214314,-0.0,-0.21365308324428636
9,2,0.6699999999999999,1,-0.0850736272202724,-0.0,-0.1701472544405448
10,2,0.6499999999999999,1,-0.06593194462450892,-0.0,-0.13186388924901785
11,2,0.63,1,-0.04932790731293413,-0.0,-0.09865581462586825
12,2,0.62,1,-0.041957977773700444,-0.0,-0.08391595554740089
13,2,0.6,1,-0.02904940554533134,-0.0,-0.05809881109066268
14,2,0.5700000000000001,1,-0.014184962821080194,-0.0,-0.028369925642160388
15,2,0.55,1,-0.00722554601219172,-0.0,-0.01445109202438344
16,2,0.54,1,-0.004621561179774257,-0.0,-0.009243122359548514
17,2,0.53,1,-0.0025984114322604376,-0.0,-0.005196822864520875
18,2,0.52,1,-0.0011544640047981987,-0.0,-0.0023089280095963975
19,2,0.51,1,-0.00028855824719008054,-0.0,-0.0005771164943801611
20,2,1.0,2,-1.0,-0.25,-1.5
21,2,0.99,2,-0.9192068641040887,-0.222078191862745,-1.3942573444826873
22,2,0.98,2,-0.8585594574581792,-0.20197100989110772,-1.313176895134143
23,2,0.97,2,-0.8056081421684238,-0.18494728082252437,-1.241321722691799
24,2,0.96,2,-0.757707810917585,-0.1699791498666888,-1.1754573221017923
25,2,0.9299999999999999,2,-0.6340763490997767,-0.13332581689687364,-1.0015010644058062
26,2,0.92,2,-0.5978208097977273,-0.12314497383890996,-0.9493516719176347
27,2,0.9,2,-0.5310044064107189,-0.10509568738422967,-0.8518174380529784
28,2,0.89,2,-0.5000840418354721,-0.09706665259294105,-0.806034778485062
29,2,0.88,2,-0.47063913471263563,-0.08961708266999947,-0.7620441040852723
30,2,0.76,2,-0.2049597206154778,-0.031764869628588495,-0.3463897019737786
31,2,0.74,2,-0.1732536275073821,-0.026073016206608055,-0.29436122260154807
32,2,0.72,2,-0.14454918943986933,-0.02115877014149882,-0.24678083859674102
33,2,0.7,2,-0.11870910076930731,-0.01693232238061304,-0.20355355677738854
34,2,0.69,2,-0.10682654162214314,-0.015052391838758294,-0.18354829956676968
35,2,0.6799999999999999,2,-0.09561854227550604,-0.01331624800690136,-0.16460458853720936
36,2,0.6699999999999999,2,-0.0850736272202724,-0.011715877902034575,-0.14671549863647565
37,2,0.6599999999999999,2,-0.07518129502696988,-0.01024385884787446,-0.12987487235819084
38,2,0.63,2,-0.04932790731293413,-0.006531890599167197,-0.08559203342753385
39,2,0.61,2,-0.03520045149491277,-0.004586830688090638,-0.06122724161364426
40,2,0.6,2,-0.029049405545331336,-0.0037585099894297015,-0.05058179111180327
41,2,0.5700000000000001,2,-0.014184962821080196,-0.0018035578038847876,-0.024762810034390816
42,2,0.56,2,-0.010412478777944396,-0.001317970762502202,-0.018189016030884388
43,2,0.55,2,-0.007225546012191719,-0.0009110999593447099,-0.012628892105694019
44,2,0.54,2,-0.004621561179774256,-0.0005809312268166703,-0.008081259905915171
45,2,0.52,2,-0.0011544640047981985,-0.000144510047195694,-0.002019907915205009
46,2,0.98,3,-0.8585594574581792,-0.5159065424827807,-0.685305829950797
47,2,0.97,3,-0.8056081421684238,-0.48570502315383735,-0.6398062380291729
48,2,0.96,3,-0.757707810917585,-0.45812158735470476,-0.5991724471257605
49,2,0.94,3,-0.6725550808455236,-0.4085521351426965,-0.5280058914056542
50,2,0.9299999999999999,3,-0.6340763490997767,-0.38595090957927586,-0.49625087904100174
51,2,0.92,3,-0.5978208097977273,-0.3645497817291613,-0.46654205613713207
52,2,0.91,3,-0.5635301829358971,-0.3442186980820326,-0.43862296970772896
53,2,0.86,3,-0.41576118835714393,-0.25568986531632504,-0.3201426460816378
54,2,0.85,3,-0.39015969528359945,-0.24021178637621665,-0.2998958178147656
55,2,0.84,3,-0.36569044535943374,-0.2253820362898531,-0.2806168181391613
56,2,0.83,3,-0.34229522125578055,-0.2111708649463503,-0.2622487126188605
57,2,0.8200000000000001,3,-0.3199229542717203,-0.19755212464934518,-0.24474165924475022
58,2,0.8,3,-0.27807190511263785,-0.17200192486857338,-0.21213996048812894
59,2,0.79,3,-0.2585172600687264,-0.16003143873308143,-0.19697164267128991
60,2,0.78,3,-0.23983249703803444,-0.1485746538912711,-0.18251568629352666
61,2,0.76,3,-0.2049597206154778,-0.12714381396420596,-0.15563181330254366
62,2,0.72,3,-0.14454918943986933,-0.08987482046739105,-0.10934873794495656
63,2,0.71,3,-0.13127875366059547,-0.08166410898347806,-0.0992292893542348
64,2,0.7,3,-0.11870910076930731,-0.07387925315731933,-0.08965969522397596
65,2,0.6599999999999999,3,-0.07518129502696988,-0.046863699996658126,-0.05663519006062351
66,2,0.64,3,-0.057316810744507764,-0.035750886782793964,-0.0431318479234276
67,2,0.62,3,-0.04195797777370045,-0.026185228275822408,-0.03154549899575609
68,2,0.61,3,-0.03520045149491278,-0.02197322216227196,-0.026454458665281635
69,2,0.59,3,-0.02349953124217594,-0.014675179880641457,-0.017648702723068965
