,model_size,uncertainty,deg_level,det,deg,ei
0,2,0.925,1,-0.615688455873503,-0.0,-1.231376911747006
1,2,0.905,1,-0.5470574518127167,-0.0,-1.0941149036254334
2,2,0.84,1,-0.36569044535943374,-0.0,-0.7313808907188675
3,2,0.815,1,-0.3091061285649591,-0.0,-0.6182122571299182
4,2,0.8049999999999999,1,-0.2881853297856802,-0.0,-0.5763706595713604
5,2,0.7949999999999999,1,-0.2681839206230448,-0.0,-0.5363678412460896
6,2,0.78,1,-0.23983249703803444,-0.0,-0.4796649940760689
7,2,0.76,1,-0.20495972061547776,-0.0,-0.40991944123095553
8,2,0.75,1,-0.1887218755408671,-0.0,-0.3774437510817342
9,2,0.685,1,-0.10113896295570979,-0.0,-0.20227792591141966
10,2,0.665,1,-0.0800465086369202,-0.0,-0.1600930172738404
11,2,0.6599999999999999,1,-0.07518129502696988,-0.0,-0.1503625900539398
12,2,0.655,1,-0.07047681382077356,-0.0,-0.14095362764154712
13,2,0.6499999999999999,1,-0.06593194462450892,-0.0,-0.13186388924901785
14,2,0.61,1,-0.03520045149491277,-0.0,-0.07040090298982554
15,2,0.59,1,-0.023499531242175943,-0.0,-0.046999062484351886
16,2,0.5449999999999999,1,-0.005850828519106954,-0.0,-0.011701657038213908
17,2,0.54,1,-0.004621561179774257,-0.0,-0.009243122359548514
18,2,0.97,2,-0.8056081421684238,-0.18494728082252437,-1.241321722691799
19,2,0.96,2,-0.757707810917585,-0.1699791498666888,-1.1754573221017923
20,2,0.95,2,-0.7136030428840439,-0.1565691415781065,-1.1140678026118747
21,2,0.88,2,-0.47063913471263563,-0.08961708266999947,-0.7620441040852723
22,2,0.875,2,-0.4564355568004036,-0.08609330604934863,-0.74068450150211
23,2,0.87,2,-0.44256181497201086,-0.08269578481527526,-0.7197320603134711
24,2,0.86,2,-0.41576118835714393,-0.07625858391670248,-0.6790052088808829
25,2,0.85,2,-0.39015969528359945,-0.0702668824754227,-0.6397856256163534
26,2,0.845,2,-0.37778736199368657,-0.06742729120367599,-0.6207201415800212
27,2,0.84,2,-0.36569044535943374,-0.06468660209711494,-0.6020076865246375
28,2,0.8049999999999999,2,-0.2881853297856802,-0.047984133315071315,-0.4804023929412177
29,2,0.7949999999999999,2,-0.2681839206230448,-0.043920515049633665,-0.44852681114682225
30,2,0.785,2,-0.24906802036615355,-0.04013384707021896,-0.41786834659186917
31,2,0.775,2,-0.23080717098698628,-0.036606234764396825,-0.3884018724451789
32,2,0.74,2,-0.1732536275073821,-0.026073016206608055,-0.29436122260154807
33,2,0.72,2,-0.14454918943986933,-0.02115877014149882,-0.24678083859674102
34,2,0.715,2,-0.13782547005877505,-0.020040898870561125,-0.23556914237642784
35,2,0.7,2,-0.11870910076930731,-0.01693232238061304,-0.20355355677738854
36,2,0.615,2,-0.038503049176444856,-0.005036222046055212,-0.0669336542607793
37,2,0.59,2,-0.02349953124217594,-0.00302084679558556,-0.04095736889318076
38,2,0.5800000000000001,2,-0.01854610496634649,-0.0023702556853519383,-0.032351698561989106
39,2,0.56,2,-0.010412478777944396,-0.001317970762502202,-0.018189016030884388
40,2,0.55,2,-0.007225546012191719,-0.0009110999593447099,-0.012628892105694019
41,2,0.52,2,-0.0011544640047981985,-0.000144510047195694,-0.002019907915205009
42,2,0.505,2,-7.213595433840824e-05,-9.017783283058801e-06,-0.00012623634211069888
43,2,0.985,3,-0.8876392899006232,-0.5323444665350731,-0.7105896467311004
44,2,0.965,3,-0.7811222734609891,-0.4716339492064337,-0.6189766485091107
45,2,0.955,3,-0.7352349660643193,-0.4451029083785417,-0.5802641153715551
46,2,0.945,3,-0.6927316401392403,-0.42035482944170505,-0.5447536213950704
47,2,0.935,3,-0.6530187118993868,-0.3970918994483795,-0.5118536249020145
48,2,0.915,3,-0.5804435037614533,-0.3542573506342156,-0.45237230625447533
49,2,0.91,3,-0.5635301829358971,-0.3442186980820326,-0.43862296970772896
50,2,0.905,3,-0.5470574518127167,-0.334422018288653,-0.42527086704812744
51,2,0.895,3,-0.5153522602685545,-0.3155134073851264,-0.39967770576685624
52,2,0.87,3,-0.44256181497201086,-0.2718503889638603,-0.34142285201630107
53,2,0.86,3,-0.41576118835714393,-0.25568986531632504,-0.3201426460816378
54,2,0.855,3,-0.40281495474621576,-0.24786776518136922,-0.3098943791296931
55,2,0.84,3,-0.36569044535943374,-0.2253820362898531,-0.2806168181391613
56,2,0.825,3,-0.3309841649434423,-0.20428895159218505,-0.2533904267025145
57,2,0.81,3,-0.2985285401161027,-0.18450267696843814,-0.2280517262953291
58,2,0.8,3,-0.27807190511263785,-0.17200192486857338,-0.21213996048812894
59,2,0.7949999999999999,3,-0.2681839206230448,-0.16595147442296918,-0.20446489240015125
60,2,0.79,3,-0.2585172600687264,-0.16003143873308143,-0.19697164267128991
61,2,0.785,3,-0.24906802036615355,-0.15423980317338493,-0.18965643438553725
62,2,0.78,3,-0.23983249703803444,-0.1485746538912711,-0.18251568629352666
63,2,0.775,3,-0.2308071709869863,-0.14303417117009867,-0.17554599963377526
