,model_size,uncertainty,deg_level,det,deg,ei
0,2,1.0,1,-2.0,-1.0,-4.0
1,2,0.99,1,-1.8910753701979053,-1.0,-3.576166055769145
2,2,0.98,1,-1.8132268848704767,-1.0,-3.287791736017093
3,2,0.97,1,-1.7478824249910445,-1.0,-3.055092971592574
4,2,0.96,1,-1.6908021018606123,-1.0,-2.8588117476562647
5,2,0.94,1,-1.593893329409321,-1.0,-2.5404959455355303
6,2,0.92,1,-1.513428805592821,-1.0,-2.290466749598113
7,2,0.89,1,-1.4142959474662895,-1.0,-2.00023302701957
8,2,0.88,1,-1.3857232275263007,-1.0,-1.9202288633059077
9,2,0.87,1,-1.3590154099274403,-1.0,-1.8469228844202485
10,2,0.86,1,-1.3340023318374727,-1.0,-1.7795622213478146
11,2,0.83,1,-1.2677719219191819,-1.0,-1.6072456460066562
12,2,0.8,1,-1.2125732532083187,-1.0,-1.4703338943962052
13,2,0.78,1,-1.1808555511741863,-1.0,-1.3944198327388915
14,2,0.75,1,-1.1397535284773888,-1.0,-1.299038105676658
15,2,0.74,1,-1.1275986279041212,-1.0,-1.2714786656512567
16,2,0.73,1,-1.1161534342895685,-1.0,-1.245798488876398
17,2,0.72,1,-1.1053851907187477,-1.0,-1.2218764198603222
18,2,0.7,1,-1.0857629053796507,-1.0,-1.1788810866984603
19,2,0.69,1,-1.076856895551251,-1.0,-1.159620773496278
20,2,0.6699999999999999,1,-1.0607418744182215,-1.0,-1.1251733241442823
21,2,0.6499999999999999,1,-1.046760902594659,-1.0,-1.095708387200785
22,2,0.6,1,-1.0203396005006327,-1.0,-1.0410929003497906
23,2,0.52,1,-1.0008005337262014,-1.0,-1.0016017083066495
24,2,0.5,1,-1.0,-1.0,-1.0
25,2,1.0,2,-2.0,-1.189207115002721,-2.8284271247461903
26,2,0.99,2,-1.8910753701979053,-1.166412585851959,-2.628532083734637
27,2,0.98,2,-1.8132268848704767,-1.1502687791433346,-2.484881227020429
28,2,0.96,2,-1.6908021018606123,-1.1250422252235603,-2.258644667364439
29,2,0.94,2,-1.593893329409321,-1.1052850612650695,-2.0795525798375465
30,2,0.9,2,-1.4449348111684153,-1.0755657254623183,-1.8047730603424088
31,2,0.88,2,-1.3857232275263007,-1.0640877168636333,-1.695891772940795
32,2,0.87,2,-1.3590154099274403,-1.058995005206118,-1.6468761455951277
33,2,0.86,2,-1.3340023318374727,-1.054280372105216,-1.6010354018742672
34,2,0.84,2,-1.2884981317386142,-1.045857722528254,-1.517827339773989
35,2,0.83,2,-1.2677719219191819,-1.0420954220462155,-1.480018969714089
36,2,0.81,2,-1.2298893621882103,-1.0353552184460104,-1.4110855244284761
37,2,0.8,2,-1.2125732532083187,-1.032338803280651,-1.3796580687169986
38,2,0.79,2,-1.1962486197169364,-1.029535599077837,-1.3500820496404151
39,2,0.78,2,-1.1808555511741863,-1.0269306229366206,-1.3222431986567202
40,2,0.76,2,-1.1526541647734596,-1.0222619088334008,-1.2713750678081532
41,2,0.75,2,-1.1397535284773888,-1.0201742487583316,-1.248168381897237
42,2,0.74,2,-1.1275986279041212,-1.0182367324171548,-1.2263418736194258
43,2,0.73,2,-1.1161534342895685,-1.016439691479138,-1.2058257902911176
44,2,0.71,2,-1.09526407433265,-1.0132320934262329,-1.1684760378466559
45,2,0.6699999999999999,2,-1.0607418744182215,-1.0081538910971555,-1.107046251977295
46,2,0.63,2,-1.0347827485243903,-1.0045378264451423,-1.0611231011956477
47,2,0.59,2,-1.0164220168459015,-1.0020960851608145,-1.0287963068926556
48,2,0.5700000000000001,2,-1.0098807625328943,-1.0012509127462317,-1.0173124245037157
49,2,0.56,2,-1.0072434883696333,-1.0009139651299044,-1.0126874768498473
50,2,0.54,2,-1.00320855854139,-1.0004027519247536,-1.0056172202683595
51,2,0.53,2,-1.0018027044797875,-1.0002258699970397,-1.0031554420913078
52,2,0.51,2,-1.000200033339468,-1.0000250107304467,-1.0003500670947565
53,2,0.5,2,-1.0,-1.0,-1.0
54,2,0.96,3,-1.6908021018606123,-1.3737520055292889,-1.5148473766394022
55,2,0.95,3,-1.6398945438105603,-1.3495958404856203,-1.476469158904373
56,2,0.9299999999999999,3,-1.551943837049678,-1.3067207894964097,-1.4105432271242977
57,2,0.89,3,-1.4142959474662895,-1.2366038417927474,-1.308035139232337
58,2,0.88,3,-1.3857232275263007,-1.2215668679557545,-1.2868220775212094
59,2,0.87,3,-1.3590154099274403,-1.2073553792617615,-1.267005556966279
60,2,0.86,3,-1.3340023318374727,-1.1939065066205763,-1.2484539833488912
61,2,0.85,3,-1.3105384623930452,-1.1811660428500492,-1.231055511199542
62,2,0.83,3,-1.2677719219191819,-1.157627311948067,-1.199346656677814
63,2,0.8,3,-1.2125732532083187,-1.1266207316530623,-1.158405181357703
64,2,0.79,3,-1.1962486197169364,-1.1173114858892184,-1.1462896542639542
65,2,0.78,3,-1.1808555511741863,-1.1084737869156045,-1.1348610645611075
66,2,0.75,3,-1.1397535284773888,-1.0845856115171408,-1.104318158671257
67,2,0.69,3,-1.076856895551251,-1.0471826401664446,-1.0574774587187763
68,2,0.6699999999999999,3,-1.0607418744182215,-1.037427904921524,-1.0454507443693009
69,2,0.6599999999999999,3,-1.053493413977562,-1.0330167878179326,-1.040037242190827
70,2,0.6499999999999999,3,-1.046760902594659,-1.0289064679713624,-1.0350067720052316
71,2,0.64,3,-1.0405287378775891,-1.0250902181004409,-1.0303481128483192
72,2,0.62,3,-1.0295100958516816,-1.0183159334201755,-1.0221064794552208
73,2,0.6,3,-1.0203396005006327,-1.0126512992557664,-1.0152421411020602
74,2,0.5700000000000001,3,-1.0098807625328943,-1.0061610374709993,-1.0074075634778608
75,2,0.56,3,-1.0072434883696333,-1.0045194128130894,-1.0054309934136894
76,2,0.52,3,-1.0008005337262014,-1.0005002384802835,-1.000600380290659
77,2,0.51,3,-1.000200033339468,-1.000125014898128,-1.0001500237545384
78,2,0.5,3,-1.0,-1.0,-1.0
79,2,0.98,4,-1.8132268848704767,-1.8132268848704767,-1.0
80,2,0.97,4,-1.7478824249910445,-1.7478824249910445,-1.0
81,2,0.95,4,-1.6398945438105603,-1.6398945438105603,-1.0
82,2,0.94,4,-1.593893329409321,-1.593893329409321,-1.0
83,2,0.87,4,-1.3590154099274403,-1.3590154099274403,-1.0
84,2,0.86,4,-1.3340023318374727,-1.3340023318374727,-1.0
